,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention
0,John Machado Dairy,22495 W China Camp RD,Los Banos,Merced,93635,P.O. Box 2253,Los Banos,CA,93635,(209) 481-4424,01/01/1979,San Joaquin River Basin,X070-X160-X037-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,95380,,,,,(209) 678-2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,O'Banion Ranches,15775 S Indiana RD,Dos Palos,Merced,93620,,,,,(209) 587-1446,01/01/1936,San Joaquin River Basin,"0085-0060-0009-0000, 0085-0160-0009-0000",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,250,250,150,0,150,150,Other,1.0,400,,4058.24,37960.0,26572.0,6424.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
3,Borges Farms,5148 W Grayson RD,Modesto,Stanislaus,95358,,,,,(209) 538-7810,01/01/1973,Sacramento River Basin,"0017-0059-0006-0000, 0017-0059-0007-0000, 0017-0062-0003-0000",,,100,0,100,100,150,0,150,150,0,750,750,750,135,0,135,135,150,0,150,150,100,0,100,100,Holstein,60.0,1385,,23583.99,301164.12,210814.88,48637.81,138704.42,384180.75,,,,,3816000.0,3816000.0,0.0,0.0,,,,,,,,,,
4,Sierra Rose Dairy,9022 Aguas Frias Road,Chico,Butte,95928,,,,,(530) 864-0274,05/01/1953,Sacramento River Basin,0039-0280-0024-0000,,,75,0,75,75,75,0,75,75,380,0,380,380,50,0,50,50,125,0,125,125,125,0,125,125,Jersey,35.0,830,,11764.69,147551.12,103285.78,23584.57,64035.41,190420.5,,,,,5650000.0,5650000.0,0.0,0.0,,,,,,,,,,
5,Silveira Holsteins,23356 Short AVE,Hilmar,Merced,95324,,,,,(209) 632-3452,01/01/1910,San Joaquin River Basin,X057-X220-X008-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tony Lopes Dairy LP,27500 W Bunker RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1972,San Joaquin River Basin,"X070-X010-X012-XXXX, X070-X010-X013-XXXX",,,300,0,360,310,0,300,360,310,0,2175,2400,2175,350,0,350,350,900,0,1000,950,900,0,1000,950,Holstein,72.0,5045,,82104.62,1011993.62,708395.53,165904.99,419390.52,1104581.25,,,,,46740000.0,46740000.0,0.0,0.0,,,,,,,,,,
7,Alden Peterson & Sons Inc.,1431 N Central AVE,Turlock,Stanislaus,95380,,,,,(209) 664-0749,01/01/1985,San Joaquin River Basin,X022-X040-X008-XXXX,,,140,0,140,140,0,0,0,0,0,700,700,700,0,95,95,95,210,0,210,210,130,0,130,130,Holstein,85.0,1275,,24114.97,307635.4,215344.78,50961.85,140954.96,351440.25,,,,,28510500.0,15018000.0,0.0,13492500.0,,,,,,,,,,
8,Sallaberry Ranch,5608 S Morgan RD,Turlock,Stanislaus,95380,,,,,(209) 606-4894,01/01/1970,San Joaquin River Basin,X057-X004-X001-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,280,280,0,160,160,160,Holstein,1.0,440,,4376.18,41756.0,29229.2,7066.4,1.0,0.0,,,,,19140000.0,19140000.0,0.0,0.0,,,,,,,,,,
9,Triple J Creek Dairy,22484 W China Camp RD,Los Banos,Merced,93635,,,,,(559) 358-0701,01/01/1981,San Joaquin River Basin,X070-X170-X013-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
