,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention,address,latitude,longitude
0,Machado Dairy Farms #2,19405 E Mariposa RD,Stockton,San Joaquin,95215,P.O. Box 4430,Manteca,CA,95337.0,(209) 602-3474,01/01/1970,San Joaquin River Basin,0205-0020-0002-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19405 E Mariposa RD, Stockton, CA 95215",37.87951,-121.07751
1,Ed Nunes Dairy,17399 E Avena RD,Escalon,San Joaquin,95320,,,,,(209) 595-2017,01/01/1980,San Joaquin River Basin,X203-X190-XX06-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17399 E Avena RD, Escalon, CA 95320",37.8454,-121.09484
2,Nunes,2618 E Reilly RD,Merced,Merced,95340,,,,,(209) 658-6162,01/01/1955,San Joaquin River Basin,X066-X250-X017-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2618 E Reilly RD, Merced, CA 95340",37.25826,-120.44054
6,,,,,96002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,"nan, nan, CA 96002",40.49125,-122.28651
8,Pedretti Ranches Inc.,2331 E Roosevelt RD,El Nido,Merced,95317,,,,,(209) 722-2073,01/01/1942,San Joaquin River Basin,"X075-X300-X027-XXXX, X075-X300-X061-XXXX, X075-X300-X062-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2331 E Roosevelt RD, El Nido, CA 95317",37.14074,-120.45143
12,B & J Dairy,9950 Arno RD,Galt,Sacramento,95632,,,,,(209) 745-2520,01/01/1958,Sacramento River Basin,X148-X020-X035-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9950 Arno RD, Galt, CA 95632",38.32441,-121.32512
13,Joe & Teresa Soares Dairy #2,7581 N Merced AVE,Delhi,Merced,95315,P.O. Box 189,Delhi,CA,95315.0,(209) 652-2990,01/01/1980,San Joaquin River Basin,"X047-X010-X022-XXXX, X047-X010-X023-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7581 N Merced AVE, Delhi, CA 95315",37.40004,-120.79874
14,John Santos,5672 S Whitworth RD,Gustine,Merced,95322,,,,,(209) 968-7832,01/01/1960,San Joaquin River Basin,"X063-X240-X006-XXXX, X063-X240-X007-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5672 S Whitworth RD, Gustine, CA 95322",37.20677,-121.02803
22,"Soares Dairy Farms, Inc.",14515 S Badger Flat RD,Los Banos,Merced,93635,,,,,(209) 826-3414,12/01/1978,San Joaquin River Basin,X081-X080-X020-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14515 S Badger Flat RD, Los Banos, CA 93635",37.08217,-120.88025
24,Alamo Dairy,1500 Fulkerth RD,Crows Landing,Stanislaus,95313,P.O. Box 99,Keyes,CA,95328.0,(209) 667-5735,01/01/1980,San Joaquin River Basin,"X022-X033-X007-XXXX, X022-X033-X022-XXXX, XO22-X035-X012-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1500 Fulkerth RD, Crows Landing, CA 95313",37.50404,-121.01614
