operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention
Machado Dairy Farms #2,19405 E Mariposa RD,Stockton,San Joaquin,95215,P.O. Box 4430,Manteca,CA,95337,(209) 602-3474,01/01/1970,San Joaquin River Basin,0205-0020-0002-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Nunes Dairy,17399 E Avena RD,Escalon,San Joaquin,95320,,,,,(209) 595-2017,01/01/1980,San Joaquin River Basin,X203-X190-XX06-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunes,2618 E Reilly RD,Merced,Merced,95340,,,,,(209) 658-6162,01/01/1955,San Joaquin River Basin,X066-X250-X017-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Warmerdam Dairy Inc.,12121 McKenzie RD,Galt,Sacramento,95632,,,,,(209) 745-1142,10/01/1969,San Joaquin River Basin,"X148-0020-X006-0000, X148-0020-X028-0000, X148-0020-X030-0000",,,175,0,175,175,0,175,175,175,0,850,850,850,0,150,150,150,345,0,345,345,305,0,305,305,Holstein,78.0,2000,,32506.14,402452.41,281716.69,65496.97,167250.44,434715.0,,,,,28530000.0,28530000.0,0.0,0.0,,,,,,,,,,
AM3 Dairy,836 W Linwood AVE,Crows Landing,Stanislaus,95313,,,,,(209) 678-0272,01/01/1960,San Joaquin River Basin,"X058-X005-X011-XXXX, X058-X022-X012-XXXX",,,0,0,0,0,0,0,0,0,0,575,575,575,100,0,100,100,300,0,300,300,0,0,0,0,Holstein,75.0,975,,19567.58,243975.13,170782.59,40685.42,112006.68,293733.75,,,,,7053093.0,7053093.0,0.0,0.0,,,,,,,,,,
R Doornenbal Dairy #2,16348 S Van Allen RD,Escalon,San Joaquin,95320,,,,,(209) 838-7108,01/01/1940,San Joaquin River Basin,"X205-X100-XX03-XXXX, X205-X240-XX22-XXXX",,,0,0,0,0,0,0,0,0,0,350,350,350,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,75.0,350,,9184.66,120068.34,84047.84,20366.0,68177.98,164797.5,,,,,1967700.0,1732500.0,0.0,235200.0,,,,,,,,,,
,,,,96002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
Faria Dairy Inc. #1,13182 S Robinson RD,Escalon,San Joaquin,95320,,,,,(209) 204-2342,01/01/1960,San Joaquin River Basin,X205-X13X-017X-XXXX,,,0,0,0,0,0,0,0,0,0,110,110,110,0,17,17,17,0,0,0,0,0,0,0,0,Holstein,45.0,127,,2981.54,38952.32,27266.62,6456.43,21885.53,55702.65,,,,,4422000.0,4422000.0,0.0,0.0,,,,,,,,,,
Pedretti Ranches Inc.,2331 E Roosevelt RD,El Nido,Merced,95317,,,,,(209) 722-2073,01/01/1942,San Joaquin River Basin,"X075-X300-X027-XXXX, X075-X300-X061-XXXX, X075-X300-X062-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Teicheira and Son,27527 S Airport WAY,Manteca,San Joaquin,95337,,,,,(209) 823-5844,01/01/1950,San Joaquin River Basin,"X257-XX04-XX14-XXXX, X257-XX04-XX15-XXXX, X257-XX04-XX16-XXXX, X257-XX04-XX17-XXXX, X257-XX04-XXX1-XXXX",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
