,index,Unnamed: 0,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,address,latitude,longitude
2,2,2,O'Banion Ranches,15775 S Indiana RD,Dos Palos,Merced,93620,,,,,(209) 587-1446,01/01/1936,San Joaquin River Basin,"0085-0060-0009-0000, 0085-0160-0009-0000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,150.0,0.0,150.0,150.0,Other,1.0,400.0,4058.24,37960.0,26572.0,6424.0,1.0,0.0,,0.0,0.0,0.0,"15775 S Indiana RD, Dos Palos, CA 93620",37.05626,-120.59865
3,3,3,Borges Farms,5148 W Grayson RD,Modesto,Stanislaus,95358,,,,,(209) 538-7810,01/01/1973,Sacramento River Basin,"0017-0059-0006-0000, 0017-0059-0007-0000, 0017-0062-0003-0000",100.0,0.0,100.0,100.0,150.0,0.0,150.0,150.0,0.0,750.0,750.0,750.0,135.0,0.0,135.0,135.0,150.0,0.0,150.0,150.0,100.0,0.0,100.0,100.0,Holstein,60.0,1385.0,23583.99,301164.12,210814.88,48637.81,138704.42,384180.75,3816000.0,3816000.0,0.0,0.0,"5148 W Grayson RD, Modesto, CA 95358",37.5658,-121.08767
4,4,4,Sierra Rose Dairy,9022 Aguas Frias Road,Chico,Butte,95928,,,,,(530) 864-0274,05/01/1953,Sacramento River Basin,0039-0280-0024-0000,75.0,0.0,75.0,75.0,75.0,0.0,75.0,75.0,380.0,0.0,380.0,380.0,50.0,0.0,50.0,50.0,125.0,0.0,125.0,125.0,125.0,0.0,125.0,125.0,Jersey,35.0,830.0,11764.69,147551.12,103285.78,23584.57,64035.41,190420.5,5650000.0,5650000.0,0.0,0.0,"9022 Aguas Frias Road, Chico, CA 95928",39.63197,-121.85899
6,6,6,Tony Lopes Dairy LP,27500 W Bunker RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1972,San Joaquin River Basin,"X070-X010-X012-XXXX, X070-X010-X013-XXXX",300.0,0.0,360.0,310.0,0.0,300.0,360.0,310.0,0.0,2175.0,2400.0,2175.0,350.0,0.0,350.0,350.0,900.0,0.0,1000.0,950.0,900.0,0.0,1000.0,950.0,Holstein,72.0,5045.0,82104.62,1011993.62,708395.53,165904.99,419390.52,1104581.25,46740000.0,46740000.0,0.0,0.0,"27500 W Bunker RD, Gustine, CA 95322",37.17334,-120.98684
7,7,7,Alden Peterson & Sons Inc.,1431 N Central AVE,Turlock,Stanislaus,95380,,,,,(209) 664-0749,01/01/1985,San Joaquin River Basin,X022-X040-X008-XXXX,140.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,700.0,700.0,700.0,0.0,95.0,95.0,95.0,210.0,0.0,210.0,210.0,130.0,0.0,130.0,130.0,Holstein,85.0,1275.0,24114.97,307635.4,215344.78,50961.85,140954.96,351440.25,28510500.0,15018000.0,0.0,13492500.0,"1431 N Central AVE, Turlock, CA 95380",37.50553,-120.96076
8,8,8,Sallaberry Ranch,5608 S Morgan RD,Turlock,Stanislaus,95380,,,,,(209) 606-4894,01/01/1970,San Joaquin River Basin,X057-X004-X001-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,0.0,160.0,160.0,160.0,Holstein,1.0,440.0,4376.18,41756.0,29229.2,7066.4,1.0,0.0,19140000.0,19140000.0,0.0,0.0,"5608 S Morgan RD, Turlock, CA 95380",37.44016,-120.97421
11,11,11,Kronberg Facility,20777 Riverside AVE,Hilmar,Stanislaus,95324,,,,,(209) 620-4520,01/01/1950,San Joaquin River Basin,"X045-X262-X001-XXXX, X045-X360-X022-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,0.0,3726000.0,3726000.0,0.0,"20777 Riverside AVE, Hilmar, CA 95324",37.36427,-120.86506
13,13,13,Joe Gomes Dairy,17265 Swanson RD,Delhi,Merced,95315,,,,,(209) 652-7808,01/01/1960,San Joaquin River Basin,X046-X200-X024-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,425.0,425.0,0.0,1.0,1.0,1.0,0.0,145.0,145.0,145.0,0.0,80.0,80.0,80.0,Holstein,70.0,651.0,13142.07,164071.54,114850.08,27768.17,81391.42,200341.2,2316000.0,2316000.0,0.0,0.0,"17265 Swanson RD, Delhi, CA 95315",37.44083,-120.79977
15,15,15,Pearson and Coupe LLC,11096 Boessow RD,Galt,Sacramento,95632,,,,,(209) 747-4025,01/01/1950,Sacramento River Basin,0150-0071-0025-0000,16.0,0.0,16.0,16.0,13.0,0.0,13.0,13.0,0.0,160.0,160.0,160.0,35.0,0.0,35.0,35.0,38.0,0.0,38.0,38.0,38.0,0.0,38.0,38.0,Holstein,60.0,300.0,5246.81,66287.48,46401.24,10801.52,29590.28,83384.25,,0.0,0.0,0.0,"11096 Boessow RD, Galt, CA 95632",38.25321,-121.27353
16,16,16,"Joe Borba Dairy, INC",3431 S Moffett RD,Turlock,Stanislaus,95380,,,,,(209) 632-5363,01/01/1970,San Joaquin River Basin,"0058-0028-0002-0000, 0058-0028-0023-0000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,Holstein,1.0,50.0,506.25,4745.0,3321.5,803.0,1.0,0.0,,0.0,0.0,0.0,"3431 S Moffett RD, Turlock, CA 95380",37.45977,-120.95136
18,18,18,Dutch Door Dairy,3493 BVD RD,Merced,Merced,95341,,,,,(209) 648-2166,01/01/1940,San Joaquin River Basin,X066-X170-X012-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,620.0,600.0,55.0,0.0,80.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,86.0,655.0,17316.98,225996.38,158197.47,38100.24,121212.74,295157.25,6675000.0,6675000.0,0.0,0.0,"3493 BVD RD, Merced, CA 95341",37.29422,-120.49846
