,Unnamed: 0,index,operator_name,physical_street,physical_city,physical_county,physical_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,address,latitude,longitude
0,3,3,Van Warmerdam Dairy Inc.,12121 McKenzie RD,Galt,Sacramento,95632,(209) 745-1142,10/01/1969,San Joaquin River Basin,"X148-0020-X006-0000, X148-0020-X028-0000, X148-0020-X030-0000",175.0,0.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,850.0,850.0,850.0,0.0,150.0,150.0,150.0,345.0,0.0,345.0,345.0,305.0,0.0,305.0,305.0,Holstein,78.0,2000.0,32506.14,402452.41,281716.69,65496.97,167250.44,434715.0,28530000.0,28530000.0,0.0,0.0,"12121 McKenzie RD, Galt, CA 95632",38.3173,-121.30084
1,4,4,AM3 Dairy,836 W Linwood AVE,Crows Landing,Stanislaus,95313,(209) 678-0272,01/01/1960,San Joaquin River Basin,"X058-X005-X011-XXXX, X058-X022-X012-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,575.0,575.0,100.0,0.0,100.0,100.0,300.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,Holstein,75.0,975.0,19567.58,243975.13,170782.59,40685.42,112006.68,293733.75,7053093.0,7053093.0,0.0,0.0,"836 W Linwood AVE, Crows Landing, CA 95313",37.47834,-121.00461
2,5,5,R Doornenbal Dairy #2,16348 S Van Allen RD,Escalon,San Joaquin,95320,(209) 838-7108,01/01/1940,San Joaquin River Basin,"X205-X100-XX03-XXXX, X205-X240-XX22-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,75.0,350.0,9184.66,120068.34,84047.84,20366.0,68177.98,164797.5,1967700.0,1732500.0,0.0,235200.0,"16348 S Van Allen RD, Escalon, CA 95320",37.81383,-121.05188
3,7,7,Faria Dairy Inc. #1,13182 S Robinson RD,Escalon,San Joaquin,95320,(209) 204-2342,01/01/1960,San Joaquin River Basin,X205-X13X-017X-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,0.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,45.0,127.0,2981.54,38952.32,27266.62,6456.43,21885.53,55702.65,4422000.0,4422000.0,0.0,0.0,"13182 S Robinson RD, Escalon, CA 95320",37.84557,-121.0605
4,9,9,Frank Teicheira and Son,27527 S Airport WAY,Manteca,San Joaquin,95337,(209) 823-5844,01/01/1950,San Joaquin River Basin,"X257-XX04-XX14-XXXX, X257-XX04-XX15-XXXX, X257-XX04-XX16-XXXX, X257-XX04-XX17-XXXX, X257-XX04-XXX1-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,,0.0,0.0,0.0,"27527 S Airport WAY, Manteca, CA 95337",37.70661,-121.24572
5,10,10,F&S Brasil #2,6052 Trahern RD,Manteca,San Joaquin,95337,(209) 678-0903,01/01/1930,San Joaquin River Basin,X257-X110-XX16-XXXX,24.0,0.0,100.0,24.0,18.0,0.0,90.0,18.0,72.0,0.0,240.0,72.0,69.0,0.0,229.0,69.0,72.0,0.0,250.0,72.0,54.0,0.0,200.0,54.0,Jersey-Holstein Cross,65.0,309.0,4177.58,50291.06,35203.74,7823.97,13552.14,49767.75,,0.0,0.0,0.0,"6052 Trahern RD, Manteca, CA 95337",37.70664,-121.23334
6,11,11,"Nutcher Farms, LLC",5213 West Grayson RD,Modesto,Stanislaus,95358,(209) 652-5185,01/01/1960,San Joaquin River Basin,"X017-X050-X004-XXXX, X017-X050-X005-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,700.0,700.0,0.0,59.0,59.0,59.0,360.0,0.0,360.0,360.0,253.0,0.0,253.0,253.0,Holstein,80.0,1372.0,25803.22,314448.49,220113.94,52985.59,138655.46,343162.05,29415000.0,29415000.0,0.0,0.0,"5213 West Grayson RD, Modesto, CA 95358",37.57214,-121.09395
7,15,15,A & M Azevedo Dairy,5454 W Keyes RD,Modesto,Stanislaus,95358,(209) 531-9959,01/01/1938,San Joaquin River Basin,0017-0061-0008-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,,0.0,0.0,0.0,"5454 W Keyes RD, Modesto, CA 95358",37.55126,-121.09287
8,16,16,Kronberg Facility,20777 Riverside AVE,Hilmar,Stanislaus,95324,(209) 620-4520,01/01/1950,San Joaquin River Basin,"X045-X262-X001-XXXX, X045-X360-X022-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,3.0,9109997.0,9110000.0,0.0,"20777 Riverside AVE, Hilmar, CA 95324",37.36427,-120.86506
9,17,17,P&D Dairy North,28366 Husman RD,Gustine,Merced,95322,(209) 649-4967,01/01/1945,San Joaquin River Basin,X070-X030-X020-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,378.0,378.0,400.0,0.0,500.0,450.0,400.0,0.0,500.0,450.0,Holstein,1.0,1278.0,13746.42,154395.0,108076.5,23560.02,1.0,86921.1,17115360.0,17115360.0,0.0,0.0,"28366 Husman RD, Gustine, CA 95322",37.15953,-121.0024
10,18,18,Alamo Farms,5000 W Keyes RD,Modesto,Stanislaus,95358,(209) 667-5735,12/15/2001,San Joaquin River Basin,X017-X061-X009-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,2750.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,72.0,2750.0,71191.05,930734.8,651514.36,157690.84,530263.87,1294837.5,61102140.0,0.0,0.0,61102140.0,"5000 W Keyes RD, Modesto, CA 95358",37.54938,-121.08229
11,19,19,Bartelink Dairy,12637 Van Allen RD,Escalon,San Joaquin,95320,(209) 838-3916,03/01/1983,San Joaquin River Basin,X205-X130-XX13-XXXX,100.0,0.0,100.0,100.0,90.0,0.0,90.0,90.0,0.0,785.0,785.0,785.0,0.0,75.0,75.0,75.0,300.0,0.0,300.0,300.0,250.0,0.0,250.0,250.0,Holstein,74.0,1600.0,27715.61,343683.08,240578.16,56782.85,152397.72,386863.5,12708000.0,12708000.0,0.0,0.0,"12637 Van Allen RD, Escalon, CA 95320",37.85274,-121.05875
12,20,20,Furtado Farms Inc.,3449 Paradise RD,Modesto,Stanislaus,95358,(209) 544-8416,01/01/1950,San Joaquin River Basin,"X007-X010-X007-XXXX, X017-X010-X028-XXXX, X017-X010-X029-XXXX",150.0,0.0,150.0,150.0,220.0,0.0,230.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,185.0,200.0,195.0,0.0,45.0,50.0,45.0,Holstein,1.0,610.0,3715.45,41683.0,29178.1,5191.4,1.0,0.0,567000.0,567000.0,0.0,0.0,"3449 Paradise RD, Modesto, CA 95358",37.60953,-121.05723
13,21,21,"Gold Medal Ag, LLC #2",20326 Johnson AVE,Hilmar,Merced,95324,(209) 652-4066,01/01/1970,San Joaquin River Basin,0045-0100-0060-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey,60.0,450.0,10428.48,137139.2,95997.44,22787.05,73975.69,199837.5,6311000.0,2433500.0,0.0,3877500.0,"20326 Johnson AVE, Hilmar, CA 95324",37.43341,-120.853
14,23,23,Double Cross #3,11071 Youngstown RD,Turlock,Merced,95380,(209) 668-0807,07/01/1970,San Joaquin River Basin,"X041-X060-X015-XXXX, X041-X060-X017-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,402.0,402.0,0.0,0.0,0.0,0.0,149.0,0.0,149.0,149.0,0.0,0.0,0.0,0.0,Jersey-Holstein Cross,64.0,551.0,11486.79,145261.78,101683.25,24537.1,75402.03,189281.7,6331500.0,6331500.0,0.0,0.0,"11071 Youngstown RD, Turlock, CA 95380",37.45006,-120.82204
15,26,26,Goedhart Dairy,7084 County Road 31,Orland,Glenn,95963,(530) 514-8463,03/26/1996,Sacramento,"0023-0240-0014-0009, 0023-0240-0015-0009, 0023-0240-0016-0009, 0029-0130-0005-0000",250.0,0.0,250.0,250.0,250.0,0.0,250.0,250.0,0.0,1300.0,1300.0,1300.0,0.0,200.0,200.0,200.0,500.0,0.0,500.0,500.0,500.0,0.0,500.0,500.0,Holstein,83.0,3000.0,50207.32,618876.5,433213.55,101264.18,260065.29,658095.0,28320000.0,28320000.0,0.0,0.0,"7084 County Road 31, Orland, CA 95963",39.6419,-122.12712
16,27,27,Carlos C. Lourenco Dairy,6557 Oak AVE,Merced,Merced,95340,(209) 495-8654,10/01/1995,San Joaquin River Basin,0056-0200-0018-0000,0.0,235.0,241.0,235.0,0.0,0.0,0.0,0.0,0.0,1090.0,1110.0,1090.0,0.0,150.0,162.0,150.0,0.0,310.0,322.0,310.0,0.0,275.0,283.0,275.0,Holstein,68.0,2060.0,36598.65,457119.19,319983.43,75130.54,207312.8,547719.0,31932000.0,31932000.0,0.0,0.0,"6557 Oak AVE, Merced, CA 95340",37.28009,-120.60779
17,28,28,J-D Brasil Dairy,5600 Clayton RD,Turlock,Stanislaus,95380,(209) 652-4724,06/01/1999,San Joaquin River Basin,X044-X002-X014-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,365.0,365.0,0.0,15.0,15.0,15.0,0.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,Holstein,85.0,440.0,10832.92,139246.4,97472.48,23593.6,73497.94,175309.5,6752000.0,2910000.0,0.0,3842000.0,"5600 Clayton RD, Turlock, CA 95380",37.47989,-120.91512
