,MER,TOWNSHIP,RANGE,SECTION,XALB,YALB,LATITUDE,LONGITUDE,MTRS,MTR,Shape__Are,Shape__Len,GlobalID,Field1,Unique_Cro,township_r,township_1,township_2,Reporting_,Crop_Harve,Fields__n_,Commodity_,TotalN_Fer,TotalN_Fol,TotalN_Org,TotalN_Wat,TotalNAppl,N_Removed_,A_R_lbs_N_,A_R_lbs_N1,AoY_lbsN_l,TR_fixed,TR,ARRATIO,Crop_Year,Shape_Leng,Shape_Area,mean_Nitra,Point_Coun,geometry,geometric_centroids,closest_cafo_id,distance_to_cafo,number_of_cafos
0,M,29S,23E,13,49344.93326,-289877.27495,35.40675,-119.45618,M 29S 23E 13,M29S  23E,3969823.32031,7965.84451247,{35ca3285-35b9-422c-bb56-fea4524cb2da},4,Alfalfa Hay,29 S 23 E,23.0,-29.0,Bearing,2023,16,1066.01,11043.0,0.0,125.2,11550.42,22718.62,503636.4396,-480917.8196,0.0451,0.0014,M29S 23E,M29S  23E,0.0451,0,7965.84451247,3969823.31511,0.1,1,"POLYGON ((821553.7787106391 3924634.5050147627, 821762.9588322561 3924640.1847112575, 822010.4145260293 3924650.20743915, 822489.5713088117 3924668.055493445, 822620.1022095708 3924670.9893465163, 822667.4733304919 3923035.7339872904, 821059.5732148031 3922970.381352426, 821055.2727383389 3923055.557165568, 821052.7215352629 3923194.017484733, 821048.2034264861 3923370.4289967474, 821043.2386669737 3923558.8620927883, 821039.743155269 3923757.123002978, 821032.0821299626 3923986.236580744, 821028.9523430432 3924208.8572443747, 821019.22427599 3924613.7660205616, 821140.5109296218 3924618.1410079356, 821354.4739421593 3924626.6220297776, 821553.7787106391 3924634.5050147627))",POINT (821840.4770257212 3923822.349729135),,,
1,M,28S,22E,8,33763.89811,-278764.00447,35.50749,-119.62741,M 28S 22E 08,M28S  22E,3940510.69922,8001.54065801,{7759ccc1-de6a-4357-aff6-d0573a72bdbe},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,8001.54065801,3940510.70329,0.0,2,"POLYGON ((806693.9744802474 3935299.4516888317, 806722.1145918907 3933660.6261390047, 806721.2770652985 3933686.8733344255, 806061.3366202095 3933658.7084351033, 805126.29095615 3933619.804435756, 805117.1095340871 3933802.6717394567, 805067.0066625553 3935240.1752772247, 806693.9744802474 3935299.4516888317))",POINT (805900.8058435274 3934463.879895934),,,
2,M,30S,24E,11,57416.70872,-297909.22145,35.33398,-119.36781,M 30S 24E 11,M30S  24E,3932389.14062,7920.24969754,{09fc834f-5355-4d0f-8f63-94167322c80a},5,Alfalfa Hay,30 S 24 E,24.0,-30.0,Bearing,2023,3,200.0,0.0,0.0,0.0,1992.0,1992.0,89103.952,-87111.952,0.0224,0.0007,M30S 24E,M30S  24E,0.0224,0,7920.24969754,3932389.13593,1.28666666667,3,"POLYGON ((829456.9919244825 3915197.2687610476, 829414.3929338915 3915192.4259543275, 829365.1813294047 3916033.6412581843, 829331.0617340062 3916827.382059754, 829366.3847233967 3916829.785537656, 829397.1517306572 3916833.90027554, 829554.3590151021 3916841.9369425043, 830939.8592683573 3916883.901316334, 830951.6281792875 3916584.576842614, 830968.658158944 3916047.193278133, 830996.3588363372 3915255.278397166, 829456.9919244825 3915197.2687610476))",POINT (830167.9430508366 3916044.5651240186),SAN JOAQUIN VALLEY | KERN COUNTY,5319.075010148821,47.0
3,M,29S,22E,4,34829.92215,-286819.88331,35.43492,-119.61601,M 29S 22E 04,M29S  22E,4007130.92969,8009.24452086,{98f469dc-3a05-4caf-b385-81f654afda95},3,Alfalfa Hay,29 S 22 E,22.0,-29.0,Bearing,2023,1,106.0,2014.0,0.0,0.0,1608.02,3622.02,41273.75,-37651.73,0.0878,0.0027,M29S 22E,M29S  22E,0.0878,0,8009.24452086,4007130.93109,0.0,4,"POLYGON ((807991.2293238363 3927289.860970193, 808051.0849367948 3925642.378312148, 806429.7678451932 3925584.6825559656, 806416.6036530777 3926014.880178632, 806382.3222967518 3927226.3306718855, 806507.9245306699 3927229.4700115295, 806958.8760673009 3927247.599165307, 807991.2293238363 3927289.860970193))",POINT (807214.1119584829 3926434.2597452556),,,
4,M,29S,22E,21,34865.08862,-291663.74192,35.39131,-119.61584,M 29S 22E 21,M29S  22E,3900042.30078,7899.95633136,{38e7c1fb-336e-4895-b398-feca4f43270d},3,Alfalfa Hay,29 S 22 E,22.0,-29.0,Bearing,2023,1,106.0,2014.0,0.0,0.0,1608.02,3622.02,41273.75,-37651.73,0.0878,0.0027,M29S 22E,M29S  22E,0.0878,0,7899.95633136,3900042.29749,6.4125,8,"POLYGON ((808156.1166919363 3922433.5354501344, 808245.1473532203 3920821.178278581, 806631.6402330075 3920767.5591800148, 806553.8913063308 3922371.016031938, 808156.1166919363 3922433.5354501344))",POINT (807397.5197506039 3921597.4501794544),,,
5,M,29S,23E,26,47748.78628,-293153.86948,35.37733,-119.47397,M 29S 23E 26,M29S  23E,3861276.87891,7879.74921543,{64edec6c-dbc1-4795-82d1-ee44c05f391f},4,Alfalfa Hay,29 S 23 E,23.0,-29.0,Bearing,2023,16,1066.01,11043.0,0.0,125.2,11550.42,22718.62,503636.4396,-480917.8196,0.0451,0.0014,M29S 23E,M29S  23E,0.0451,0,7879.74921543,3861276.88335,0.1,2,"POLYGON ((821177.0027051057 3919733.1553652855, 820298.80014855 3919694.6186347567, 819576.2599617513 3919655.763408444, 819562.3580646237 3920007.536680202, 819551.345511342 3920309.6016200213, 819549.734459169 3920388.199356436, 819540.3842694839 3920614.450175024, 819527.5893780713 3920952.000941559, 819509.6878398873 3921262.7006307216, 821108.46775055 3921343.024094238, 821127.469572782 3920816.102391245, 821138.7905166008 3920501.7602847903, 821141.8446783667 3920366.3449736717, 821157.6038810435 3920101.147784488, 821177.0027051057 3919733.1553652855))",POINT (820342.6212402323 3920499.318221409),,,
6,M,27S,22E,12,40376.77358,-269039.53227,35.59477,-119.55393,M 27S 22E 12,M27S  22E,3952693.83984,7953.27478165,{149ef24e-50b6-4b98-8ab4-0b7f6cd45d6a},0,Alfalfa Hay,27 S 22 E,22.0,-27.0,Bearing,2023,4,183.0,2196.0,0.0,0.0,2776.11,4972.11,77070.084,-72097.974,0.0645,0.002,M27S 22E,M27S  22E,0.0645,0,7953.27478165,3952693.83734,15.0,1,"POLYGON ((813070.6972085498 3943611.840145285, 811430.4685144948 3943550.8262270926, 811389.73718286 3945150.195801764, 813027.3936918218 3945197.308048662, 813070.6972085498 3943611.840145285))",POINT (812228.3964122402 3944377.2657423965),,,
7,M,29S,22E,8,33223.28712,-288454.31379,35.42026,-119.63379,M 29S 22E 08,M29S  22E,3883468.23438,7886.28915393,{bad21187-7a4f-4100-b032-081853e03cfa},3,Alfalfa Hay,29 S 22 E,22.0,-29.0,Bearing,2023,1,106.0,2014.0,0.0,0.0,1608.02,3622.02,41273.75,-37651.73,0.0878,0.0027,M29S 22E,M29S  22E,0.0878,0,7886.28915393,3883468.23564,8.1625,8,"POLYGON ((804820.3259092403 3925534.6785081136, 806337.7520815246 3925578.0889560967, 806429.7678451932 3925584.6825559656, 806489.654826365 3923988.370980549, 806392.1491272354 3923984.207636019, 805162.4140150184 3923942.533213455, 804876.5406500968 3923932.9311493593, 804820.3259092403 3925534.6785081136))",POINT (805653.4583320138 3924758.674005679),,,
8,M,28S,23E,17,43577.59571,-280159.24256,35.49453,-119.51919,M 28S 23E 17,M28S  23E,3962131.89844,7981.35967148,{c52fe6a5-9d18-4b12-95cc-2df54b3f5fb9},2,Alfalfa Hay,28 S 23 E,23.0,-28.0,Bearing,2023,1,63.19,0.0,0.0,0.0,315.95,315.95,40154.7174,-39838.7674,0.0079,0.0002,M28S 23E,M28S  23E,0.0079,0,7981.35967148,3962131.89882,0.23,1,"POLYGON ((816584.1892916086 3933104.1508707823, 816610.0118981567 3932557.136879102, 815872.7573741041 3932538.045811973, 815001.4258675987 3932530.870142971, 814984.254367463 3933267.6091573923, 814980.3838859999 3933326.0338906823, 814975.3653678979 3933399.1452133073, 814953.9053033758 3933682.0468048654, 814918.0539664726 3934150.234096535, 816530.1359692757 3934207.570162089, 816584.1892916086 3933104.1508707823))",POINT (815772.9897358497 3933360.4045007937),SAN JOAQUIN VALLEY | KERN COUNTY,5970.532994908164,47.0
9,M,28S,22E,10,37164.49284,-278698.72062,35.50795,-119.58988,M 28S 22E 10,M28S  22E,3272296.25,7239.65125923,{9aac98d5-eb27-4408-8695-e11e328d427a},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,7239.65125923,3272296.2491,0.23,1,"POLYGON ((808539.7283102184 3935366.688260914, 810017.3932808677 3935420.504970251, 810049.9263441054 3933977.540357391, 808614.7096315192 3933840.867623431, 808539.7283102184 3935366.688260914))",POINT (809298.3332649423 3934654.2859861283),,,
